raw_s,wall_s,offset_ms,delay_ms,err
710.391,1781183436.475,-359.330,0.151,
711.392,1781183437.476,-359.447,0.187,
712.392,1781183438.475,-359.552,0.165,
713.414,1781183439.475,-337.595,0.214,
714.458,1781183440.475,-293.486,0.215,
715.496,1781183441.475,-255.150,0.199,
716.530,1781183442.476,-221.659,0.184,
717.559,1781183443.475,-192.580,0.245,
718.583,1781183444.475,-167.309,0.196,
719.606,1781183445.475,-145.113,0.187,
720.626,1781183446.476,-125.861,0.184,
721.643,1781183447.476,-109.051,0.188,
722.656,1781183448.475,-94.394,0.198,
723.670,1781183449.476,-81.544,0.165,
724.681,1781183450.475,-70.380,0.192,
725.691,1781183451.475,-60.632,0.226,
726.699,1781183452.475,-52.125,0.170,
727.707,1781183453.476,-44.693,0.187,
728.713,1781183454.475,-38.224,0.196,
729.719,1781183455.476,-32.564,0.250,
730.724,1781183456.475,-27.634,0.195,
731.728,1781183457.475,-23.324,0.188,
732.732,1781183458.476,-19.563,0.196,
733.735,1781183459.476,-16.279,0.205,
734.738,1781183460.476,-13.448,0.195,
735.740,1781183461.475,-10.980,0.192,
736.743,1781183462.475,-8.807,0.165,
737.745,1781183463.476,-6.961,0.198,
738.746,1781183464.476,-5.334,0.190,
739.748,1781183465.476,-3.925,0.191,
740.749,1781183466.476,-2.700,0.187,
741.750,1781183467.476,-1.647,0.192,
742.751,1781183468.476,-0.719,0.231,
743.752,1781183469.476,0.056,0.196,
744.752,1781183470.476,0.722,0.193,
745.753,1781183471.476,0.976,0.191,
746.753,1781183472.476,0.815,0.221,
747.752,1781183473.476,0.673,0.196,
748.752,1781183474.476,0.524,0.189,
749.752,1781183475.476,0.380,0.191,
750.752,1781183476.476,0.234,0.190,
751.752,1781183477.476,0.118,0.169,
752.752,1781183478.476,-0.051,0.167,
753.752,1781183479.476,-0.157,0.228,
754.751,1781183480.476,-0.299,0.222,
755.751,1781183481.476,-0.445,0.179,
756.751,1781183482.476,-0.553,0.164,
757.751,1781183483.476,-0.708,0.207,
758.751,1781183484.476,-0.838,0.198,
759.751,1781183485.476,-0.936,0.222,
760.751,1781183486.476,-1.035,0.224,
761.751,1781183487.476,-1.198,0.215,
762.751,1781183488.476,-1.310,0.165,
763.750,1781183489.476,-1.448,0.197,
764.750,1781183490.476,-1.569,0.192,
765.750,1781183491.476,-1.670,0.238,
766.750,1781183492.476,-1.804,0.196,
767.750,1781183493.476,-1.939,0.182,
768.750,1781183494.476,-2.043,0.191,
769.750,1781183495.476,-2.159,0.190,
770.749,1781183496.476,-2.275,0.193,
771.749,1781183497.476,-2.392,0.188,
772.749,1781183498.476,-2.514,0.161,
773.749,1781183499.476,-2.614,0.198,
774.749,1781183500.476,-2.732,0.191,
775.749,1781183501.476,-2.847,0.190,
776.749,1781183502.476,-2.955,0.201,
777.749,1781183503.476,-3.074,0.188,
778.749,1781183504.476,-3.163,0.232,
779.749,1781183505.476,-3.313,0.227,
780.748,1781183506.476,-3.390,0.162,
781.748,1781183507.476,-3.516,0.209,
782.748,1781183508.476,-3.631,0.197,
783.748,1781183509.476,-3.734,0.199,
784.748,1781183510.476,-3.847,0.138,
785.748,1781183511.476,-3.959,0.196,
786.748,1781183512.476,-4.066,0.197,
787.748,1781183513.476,-4.176,0.194,
