raw_s,wall_s,kind,wall_elapsed_ms,raw_elapsed_ms
101840.018,1781284559.510,hb,,
101900.084,1781284619.574,hb,,
101960.160,1781284679.639,hb,,
102020.225,1781284739.704,hb,,
102080.294,1781284799.768,hb,,
102140.368,1781284859.833,hb,,
102200.443,1781284919.898,hb,,
102260.508,1781284979.962,hb,,
102320.572,1781285040.025,hb,,
102380.642,1781285100.091,hb,,
102440.712,1781285160.156,hb,,
102500.783,1781285220.220,hb,,
102560.855,1781285280.285,hb,,
102620.930,1781285340.351,hb,,
102681.002,1781285400.415,hb,,
102741.076,1781285460.481,hb,,
102801.139,1781285520.545,hb,,
102861.203,1781285580.610,hb,,
102921.269,1781285640.674,hb,,
102981.337,1781285700.739,hb,,
103041.407,1781285760.804,hb,,
103101.478,1781285820.871,hb,,
103161.548,1781285880.936,hb,,
103221.619,1781285941.001,hb,,
103281.690,1781286001.066,hb,,
103341.760,1781286061.130,hb,,
103401.832,1781286121.195,hb,,
103461.903,1781286181.258,hb,,
103521.974,1781286241.322,hb,,
103582.047,1781286301.388,hb,,
103642.119,1781286361.454,hb,,
103702.189,1781286421.516,hb,,
103762.262,1781286481.582,hb,,
103822.321,1781286541.650,hb,,
103882.382,1781286601.716,hb,,
103942.444,1781286661.781,hb,,
104002.507,1781286721.846,hb,,
104062.571,1781286781.909,hb,,
104122.638,1781286841.975,hb,,
104182.679,1781286901.959,hb,,
104242.652,1781286962.026,hb,,
